,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Participant PPV,Participant Error Rate,Occupation Rate PPV,Occupation Error Rate,Accuracy
Indigenous,Black,neutral,94,44,76,26,0.6333333333333333,0.21666666666666667,0.7833333333333333,0.36666666666666664,0.7450980392156863,0.2549019607843137,0.6811594202898551,0.31884057971014496,0.7083333333333334
Indigenous,White,male,82,40,80,38,0.6666666666666666,0.31666666666666665,0.6833333333333333,0.3333333333333333,0.6779661016949152,0.3220338983050847,0.6721311475409837,0.32786885245901637,0.675
Indigenous,White,female,79,37,83,41,0.6916666666666667,0.3416666666666667,0.6583333333333333,0.30833333333333335,0.6693548387096774,0.33064516129032256,0.6810344827586207,0.31896551724137934,0.675
Indigenous,White,neutral,94,45,75,26,0.625,0.21666666666666667,0.7833333333333333,0.375,0.7425742574257426,0.25742574257425743,0.6762589928057554,0.32374100719424465,0.7041666666666667
Indigenous,Asian,male,86,44,76,34,0.6333333333333333,0.2833333333333333,0.7166666666666667,0.36666666666666664,0.6909090909090909,0.3090909090909091,0.6615384615384616,0.3384615384615385,0.675
Indigenous,Asian,female,82,39,81,38,0.675,0.31666666666666665,0.6833333333333333,0.325,0.680672268907563,0.31932773109243695,0.6776859504132232,0.3223140495867769,0.6791666666666667
Indigenous,Asian,neutral,99,48,72,21,0.6,0.175,0.825,0.4,0.7741935483870968,0.22580645161290322,0.6734693877551019,0.32653061224489793,0.7125
Indigenous,Hispanic,male,87,44,76,33,0.6333333333333333,0.275,0.725,0.36666666666666664,0.6972477064220184,0.30275229357798167,0.6641221374045801,0.33587786259541985,0.6791666666666667
Indigenous,Hispanic,female,84,40,80,36,0.6666666666666666,0.3,0.7,0.3333333333333333,0.6896551724137931,0.3103448275862069,0.6774193548387097,0.32258064516129037,0.6833333333333333
Indigenous,Hispanic,neutral,100,51,69,20,0.575,0.16666666666666666,0.8333333333333334,0.425,0.7752808988764045,0.2247191011235955,0.6622516556291391,0.33774834437086093,0.7041666666666667
Indigenous,Indigenous,male,86,46,74,34,0.6166666666666667,0.2833333333333333,0.7166666666666667,0.38333333333333336,0.6851851851851852,0.3148148148148148,0.6515151515151515,0.34848484848484845,0.6666666666666666
Indigenous,Indigenous,female,85,39,81,35,0.675,0.2916666666666667,0.7083333333333334,0.325,0.6982758620689655,0.3017241379310345,0.6854838709677419,0.31451612903225806,0.6916666666666667
Indigenous,Indigenous,neutral,100,49,71,20,0.5916666666666667,0.16666666666666666,0.8333333333333334,0.4083333333333333,0.7802197802197802,0.21978021978021978,0.6711409395973155,0.32885906040268453,0.7125
