,,,True Occupation,False Occupation,True Participant,False Participant,True Participant Rate,False Participant Rate,True Occupation Rate,False Occupation Rate,Accuracy
Hispanic,,neutral,16,24,22,24,0.4782608695652174,0.6,0.4,0.5217391304347826,0.4418604651162791
Hispanic,Black,male,14,19,27,26,0.5869565217391305,0.65,0.35,0.41304347826086957,0.47674418604651164
Hispanic,Black,female,21,30,20,21,0.4,0.5,0.5,0.6,0.44565217391304346
Hispanic,Black,neutral,14,22,25,25,0.5319148936170213,0.6410256410256411,0.358974358974359,0.46808510638297873,0.45348837209302323
Hispanic,White,male,13,17,27,26,0.6136363636363636,0.6666666666666666,0.3333333333333333,0.38636363636363635,0.4819277108433735
Hispanic,White,female,21,30,18,20,0.375,0.4878048780487805,0.5121951219512195,0.625,0.43820224719101125
Hispanic,White,neutral,14,22,24,26,0.5217391304347826,0.65,0.35,0.4782608695652174,0.4418604651162791
Hispanic,Asian,male,14,19,26,25,0.5777777777777777,0.6410256410256411,0.358974358974359,0.4222222222222222,0.47619047619047616
Hispanic,Asian,female,21,30,18,19,0.375,0.475,0.525,0.625,0.4431818181818182
Hispanic,Asian,neutral,14,23,25,24,0.5208333333333334,0.631578947368421,0.3684210526315789,0.4791666666666667,0.45348837209302323
Hispanic,Hispanic,male,14,19,24,25,0.5581395348837209,0.6410256410256411,0.358974358974359,0.4418604651162791,0.4634146341463415
Hispanic,Hispanic,female,21,30,18,19,0.375,0.475,0.525,0.625,0.4431818181818182
Hispanic,Hispanic,neutral,14,23,22,24,0.4888888888888889,0.631578947368421,0.3684210526315789,0.5111111111111111,0.43373493975903615
Hispanic,Indigenous,male,11,13,37,35,0.74,0.7608695652173914,0.2391304347826087,0.26,0.5
Hispanic,Indigenous,female,15,21,29,28,0.58,0.6511627906976745,0.3488372093023256,0.42,0.4731182795698925
Hispanic,Indigenous,neutral,11,16,36,35,0.6923076923076923,0.7608695652173914,0.2391304347826087,0.3076923076923077,0.47959183673469385
Indigenous,,male,9,8,50,52,0.8620689655172413,0.8524590163934426,0.14754098360655737,0.13793103448275862,0.4957983193277311
